page_name,num_posts,Trump_positive,Trump_negative,Trump_neutral,Clinton_positive,Clinton_negative,Clinton_neutral,Pence_positive,Pence_negative,Pence_neutral,Kaine_positive,Kaine_negative,Kaine_neutral,media_type,media_bias,bias_value,factual_reporting,factual_value,comment,country
CBSNews,7823,154,3175,171,144,358,64,3,2,12,0,5,8,TV station,left-center,-3.3,high,1.0,,USA
WashingtonExaminer,2686,97,583,96,51,592,73,7,11,6,2,12,3,magazine,right-center,3.8,mostly factual,2.2,,USA
TheHill,2646,45,836,71,109,353,100,0,7,1,2,6,1,newspaper,least biased,0.4,mostly factual,2.2,,USA
USNewsbyWJ,2059,135,475,236,2,595,59,0,0,9,0,3,1,website,far right,8.0,mixed,6.3,,USA
politico,1973,39,518,98,57,156,110,3,14,9,8,10,8,website,left-center,-2.8,high,1.3,,USA
DailyCaller,1893,68,293,63,26,676,107,0,1,0,0,9,4,website,right,6.6,mixed,5.5,,USA
HuffPostPolitics,1767,23,445,33,53,69,69,2,22,0,4,5,5,website,left,-6.4,mixed,4.6,politics branch of HuffPost (or Huffington Post) (row 105). I used those values,USA
theweek,1696,22,326,63,26,92,41,2,5,1,0,4,1,website,left,-6.2,high,1.7,,USA
thebillpalmer,1429,1,659,9,136,110,158,1,6,0,1,0,1,website,left,-8.2,mixed,5.8,owner of Palmer Report,USA
TheDCPolitics,1397,54,209,56,15,517,73,0,1,1,0,5,0,website,right,6.6,mixed,5.5,politics branch of the Daily Caller,USA
mediaite,1330,28,479,51,24,167,41,1,7,1,0,2,1,website,left-center,-4.5,high,1.6,,USA
dailykos,1310,5,335,3,28,18,6,2,9,2,0,2,2,website,left,-8.1,mixed,5.5,,USA
talkingpointsmemo,1302,12,342,27,22,53,39,0,2,0,3,0,1,website,left,-6.3,mostly factual,2.2,,USA
gatewaypundit,1254,119,184,34,8,394,13,4,2,2,0,12,0,website,extreme right,9.5,very low,10.0,,USA
Slate,1214,15,290,31,16,43,14,0,14,1,4,2,1,website,left,-6.4,mostly factual,2.7,,USA
NEWSMAX,1108,32,291,159,8,188,80,1,1,2,0,1,2,TV station,right,7.8,low,7.6,,USA
Breitbart,1099,37,54,20,11,468,13,2,0,2,0,11,0,website,right,8.1,mixed,6.4,,USA
politifact,1091,7,250,97,10,107,101,1,15,11,3,11,10,website,left-center,-3.1,high,1.0,,USA
JudicialWatch,1084,0,4,1,0,775,238,0,0,0,0,0,0,website,far right,9.0,low,8.2,,USA
conservativevideos,1082,51,113,23,12,460,26,0,0,1,0,4,0,website,far right,8.0,mixed,6.3,video content from western journal,USA
Americanvoicesthedailycaller,1053,38,140,27,7,460,31,0,1,1,0,3,0,website,right,6.6,mixed,5.5,an untethered property of the daily caller,USA
salon,1033,14,416,20,20,79,12,0,9,2,2,3,4,website,left,-6.7,mostly factual,3.2,,USA
conservativelookout,1021,27,33,4,5,113,2,1,1,0,0,1,0,website,extreme right,,low,,,USA
thepeoplesvoicetv,1019,16,101,10,8,643,40,0,0,0,0,3,0,website,extreme right,9.8,very low,10.0,,USA
thedailybeast,1014,12,320,18,16,44,21,0,5,5,4,1,2,website,left,-6.6,mixed,4.8,,USA
businessinsider,1005,23,242,32,39,58,26,1,4,4,0,3,0,website,left-center,-3.3,mostly factual,2.3,,USA
cnnpolitics,997,19,231,76,43,62,103,0,6,17,8,3,8,TV station/website,left-center,-3.6,mostly factual,3.7,politics branch of CNN (row 39),USA
